Epoch 134/800, D loss: -0.09505343437194824, G loss: -3.001290798187256, Time elapsed: 2224.524131298065s
Epoch 135/800, D loss: -0.09080958366394043, G loss: -3.0343241691589355, Time elapsed: 2240.402492284775s
Epoch 136/800, D loss: -0.05606389045715332, G loss: -3.035338878631592, Time elapsed: 2257.1666350364685s
Epoch 137/800, D loss: -0.1009378433227539, G loss: -2.9714548587799072, Time elapsed: 2273.159537792206s
Epoch 138/800, D loss: -0.08816957473754883, G loss: -2.5740699768066406, Time elapsed: 2289.1047167778015s
Epoch 139/800, D loss: -0.062299251556396484, G loss: -2.982365369796753, Time elapsed: 2305.491447687149s
Epoch 140/800, D loss: -0.045623779296875, G loss: -2.8408350944519043, Time elapsed: 2321.0241606235504s
Epoch 141/800, D loss: -0.09923911094665527, G loss: -2.6323883533477783, Time elapsed: 2336.55721783638s
Epoch 142/800, D loss: -0.06604599952697754, G loss: -2.6564435958862305, Time elapsed: 2352.86355304718s
Epoch 143/800, D loss: -0.07563591003417969, G loss: -2.8607873916625977, Time elapsed: 2368.562164068222s
Epoch 144/800, D loss: -0.07443094253540039, G loss: -2.8272500038146973, Time elapsed: 2384.4133899211884s
Epoch 145/800, D loss: -0.07652807235717773, G loss: -2.8496885299682617, Time elapsed: 2400.959000110626s
Epoch 146/800, D loss: -0.0848388671875, G loss: -2.640868663787842, Time elapsed: 2417.045382976532s
Epoch 147/800, D loss: -0.060796260833740234, G loss: -2.9766252040863037, Time elapsed: 2432.955422639847s
Epoch 148/800, D loss: -0.04757261276245117, G loss: -2.839878559112549, Time elapsed: 2449.224858045578s
Epoch 149/800, D loss: -0.07512354850769043, G loss: -2.767253875732422, Time elapsed: 2465.245393514633s
Epoch 150/800, D loss: -0.0748891830444336, G loss: -2.8326706886291504, Time elapsed: 2481.062999486923s
Epoch 151/800, D loss: -0.0652313232421875, G loss: -2.803227424621582, Time elapsed: 2497.1347715854645s
Epoch 152/800, D loss: -0.05684852600097656, G loss: -2.3845949172973633, Time elapsed: 2513.220731496811s
Epoch 153/800, D loss: -0.07438826560974121, G loss: -2.654776096343994, Time elapsed: 2529.0281653404236s
Epoch 154/800, D loss: -0.08403873443603516, G loss: -2.315122127532959, Time elapsed: 2544.8263895511627s
Epoch 155/800, D loss: -0.07604598999023438, G loss: -2.5451130867004395, Time elapsed: 2561.207634449005s
Epoch 156/800, D loss: -0.07610464096069336, G loss: -2.5309815406799316, Time elapsed: 2576.981504917145s
Epoch 157/800, D loss: -0.0562748908996582, G loss: -2.8614301681518555, Time elapsed: 2592.9846975803375s
Epoch 158/800, D loss: -0.09284281730651855, G loss: -2.9320602416992188, Time elapsed: 2609.4352099895477s
Epoch 159/800, D loss: -0.06813311576843262, G loss: -2.677541732788086, Time elapsed: 2625.431116580963s
Epoch 160/800, D loss: -0.07137155532836914, G loss: -2.6063764095306396, Time elapsed: 2641.136452436447s
Epoch 161/800, D loss: -0.07238197326660156, G loss: -2.6183762550354004, Time elapsed: 2657.4835114479065s
Epoch 162/800, D loss: -0.057486772537231445, G loss: -2.717287540435791, Time elapsed: 2673.0779185295105s
Epoch 163/800, D loss: -0.07989215850830078, G loss: -2.6929097175598145, Time elapsed: 2688.7685103416443s
Epoch 164/800, D loss: -0.03324389457702637, G loss: -2.707421064376831, Time elapsed: 2705.135150909424s
Epoch 165/800, D loss: -0.0505671501159668, G loss: -2.716036081314087, Time elapsed: 2720.832677602768s
Epoch 166/800, D loss: -0.05296802520751953, G loss: -2.595162868499756, Time elapsed: 2736.3432137966156s
Epoch 167/800, D loss: -0.07094597816467285, G loss: -2.8216235637664795, Time elapsed: 2752.396417617798s
Epoch 168/800, D loss: -0.09166884422302246, G loss: -2.9910736083984375, Time elapsed: 2768.3593139648438s
Epoch 169/800, D loss: -0.05030226707458496, G loss: -2.735044479370117, Time elapsed: 2784.284562587738s
Epoch 170/800, D loss: -0.06594300270080566, G loss: -2.8485195636749268, Time elapsed: 2800.3481204509735s
Epoch 171/800, D loss: -0.06299996376037598, G loss: -2.595186471939087, Time elapsed: 2817.11886882782s
Epoch 172/800, D loss: -0.06795239448547363, G loss: -2.722487211227417, Time elapsed: 2833.6216101646423s
Epoch 173/800, D loss: -0.05542755126953125, G loss: -2.355740547180176, Time elapsed: 2850.3416028022766s
Epoch 174/800, D loss: -0.07350277900695801, G loss: -2.362586736679077, Time elapsed: 2866.1177051067352s
Epoch 175/800, D loss: -0.0715644359588623, G loss: -2.5787932872772217, Time elapsed: 2881.952476978302s
Epoch 176/800, D loss: -0.019469738006591797, G loss: -2.7436752319335938, Time elapsed: 2898.270951986313s
Epoch 177/800, D loss: -0.03886842727661133, G loss: -2.757858991622925, Time elapsed: 2914.260742664337s
Epoch 178/800, D loss: -0.038934946060180664, G loss: -2.7820749282836914, Time elapsed: 2929.911856174469s
Epoch 179/800, D loss: -0.08269715309143066, G loss: -2.7902565002441406, Time elapsed: 2945.865743637085s
Epoch 180/800, D loss: -0.04691648483276367, G loss: -2.776186943054199, Time elapsed: 2962.3358771800995s
Epoch 181/800, D loss: -0.0896759033203125, G loss: -2.6610207557678223, Time elapsed: 2978.299380540848s
Epoch 182/800, D loss: -0.04216194152832031, G loss: -2.713047981262207, Time elapsed: 2995.217082977295s
Epoch 183/800, D loss: -0.06419825553894043, G loss: -2.416135311126709, Time elapsed: 3011.7172026634216s
Epoch 184/800, D loss: -0.06602311134338379, G loss: -2.322397232055664, Time elapsed: 3027.5692250728607s
Epoch 185/800, D loss: -0.055825233459472656, G loss: -2.310213804244995, Time elapsed: 3043.0359511375427s
Epoch 186/800, D loss: -0.055436134338378906, G loss: -2.326688289642334, Time elapsed: 3059.4046025276184s
Epoch 187/800, D loss: -0.058892250061035156, G loss: -2.3036112785339355, Time elapsed: 3075.2973399162292s
Epoch 188/800, D loss: -0.028558969497680664, G loss: -2.644397735595703, Time elapsed: 3091.095490217209s
Epoch 189/800, D loss: -0.06594204902648926, G loss: -2.4917731285095215, Time elapsed: 3107.71191740036s
Epoch 190/800, D loss: -0.07586383819580078, G loss: -2.6727633476257324, Time elapsed: 3123.6502089500427s
Epoch 191/800, D loss: -0.05011463165283203, G loss: -2.4714527130126953, Time elapsed: 3139.6462185382843s
Epoch 192/800, D loss: -0.07631349563598633, G loss: -2.932218074798584, Time elapsed: 3156.1573960781097s
Epoch 193/800, D loss: -0.05140066146850586, G loss: -2.8522143363952637, Time elapsed: 3172.0543830394745s
Epoch 194/800, D loss: -0.0907278060913086, G loss: -2.7079195976257324, Time elapsed: 3188.149442911148s
Epoch 195/800, D loss: -0.05597996711730957, G loss: -2.5271942615509033, Time elapsed: 3204.6692237854004s
Epoch 196/800, D loss: -0.05490875244140625, G loss: -2.526273012161255, Time elapsed: 3220.4000883102417s
Epoch 197/800, D loss: -0.07502079010009766, G loss: -2.554478645324707, Time elapsed: 3235.9870624542236s
Epoch 198/800, D loss: -0.07765388488769531, G loss: -2.2894933223724365, Time elapsed: 3252.4403438568115s
Epoch 199/800, D loss: -0.03994441032409668, G loss: -2.2875821590423584, Time elapsed: 3268.2864067554474s
Epoch 200/800, D loss: -0.054494380950927734, G loss: -2.5512280464172363, Time elapsed: 3284.171182155609s
Epoch 201/800, D loss: -0.04001426696777344, G loss: -2.53262996673584, Time elapsed: 3300.340122461319s
Epoch 202/800, D loss: -0.025541067123413086, G loss: -2.402209520339966, Time elapsed: 3316.514006137848s
Epoch 203/800, D loss: -0.056789398193359375, G loss: -2.3802037239074707, Time elapsed: 3332.3383724689484s
Epoch 204/800, D loss: -0.05780386924743652, G loss: -2.3900089263916016, Time elapsed: 3348.4219427108765s
Epoch 205/800, D loss: -0.057734012603759766, G loss: -2.105012893676758, Time elapsed: 3364.744603395462s
Epoch 206/800, D loss: -0.06415939331054688, G loss: -2.3946168422698975, Time elapsed: 3380.60991358757s
Epoch 207/800, D loss: -0.04203343391418457, G loss: -2.5236971378326416, Time elapsed: 3396.3123908042908s
Epoch 208/800, D loss: -0.04050278663635254, G loss: -2.6249454021453857, Time elapsed: 3412.832019329071s
Epoch 209/800, D loss: -0.03951907157897949, G loss: -2.667365312576294, Time elapsed: 3428.7136867046356s
Epoch 210/800, D loss: -0.10329580307006836, G loss: -2.6339573860168457, Time elapsed: 3444.5356595516205s
Epoch 211/800, D loss: -0.057860374450683594, G loss: -2.767984628677368, Time elapsed: 3461.225803375244s
Epoch 212/800, D loss: -0.054590463638305664, G loss: -2.8489508628845215, Time elapsed: 3477.1718578338623s
Epoch 213/800, D loss: -0.0673379898071289, G loss: -2.853083372116089, Time elapsed: 3493.1980350017548s
Epoch 214/800, D loss: -0.05396151542663574, G loss: -2.9024910926818848, Time elapsed: 3509.9366641044617s
Epoch 215/800, D loss: -0.0699305534362793, G loss: -2.7536332607269287, Time elapsed: 3525.944956302643s
Epoch 216/800, D loss: -0.06080341339111328, G loss: -2.6805906295776367, Time elapsed: 3541.8719539642334s
Epoch 217/800, D loss: -0.05140423774719238, G loss: -2.7295894622802734, Time elapsed: 3558.6355531215668s
Epoch 218/800, D loss: -0.050108909606933594, G loss: -2.4674949645996094, Time elapsed: 3574.5146474838257s
Epoch 219/800, D loss: -0.05168271064758301, G loss: -2.5527737140655518, Time elapsed: 3590.2877073287964s
Epoch 220/800, D loss: -0.04688572883605957, G loss: -2.5902528762817383, Time elapsed: 3606.8047909736633s
Epoch 221/800, D loss: -0.05178499221801758, G loss: -2.230428695678711, Time elapsed: 3622.694726705551s
Epoch 222/800, D loss: -0.02309584617614746, G loss: -2.3069329261779785, Time elapsed: 3638.340908050537s
Epoch 223/800, D loss: -0.05779290199279785, G loss: -2.329704761505127, Time elapsed: 3654.274080991745s
Epoch 224/800, D loss: -0.04085087776184082, G loss: -2.1692371368408203, Time elapsed: 3670.753720998764s
Epoch 225/800, D loss: -0.047997236251831055, G loss: -2.013004779815674, Time elapsed: 3686.5939602851868s
Epoch 226/800, D loss: -0.07303404808044434, G loss: -2.3612985610961914, Time elapsed: 3702.4164917469025s
Epoch 227/800, D loss: -0.08749222755432129, G loss: -2.2286295890808105, Time elapsed: 3719.0202724933624s
Epoch 228/800, D loss: -0.00307464599609375, G loss: -2.144174337387085, Time elapsed: 3734.8530259132385s
Epoch 229/800, D loss: -0.07741093635559082, G loss: -2.1659646034240723, Time elapsed: 3750.7437748908997s
Epoch 230/800, D loss: -0.020339250564575195, G loss: -2.1863420009613037, Time elapsed: 3767.5311715602875s
Epoch 231/800, D loss: -0.03539156913757324, G loss: -2.122678756713867, Time elapsed: 3783.5988631248474s
Epoch 232/800, D loss: -0.06540894508361816, G loss: -2.08396053314209, Time elapsed: 3799.440236568451s
Epoch 233/800, D loss: -0.04384589195251465, G loss: -2.014901638031006, Time elapsed: 3815.9948711395264s
Epoch 234/800, D loss: -0.04132485389709473, G loss: -2.192417860031128, Time elapsed: 3832.071141719818s
Epoch 235/800, D loss: -0.06078982353210449, G loss: -2.2922983169555664, Time elapsed: 3848.0446252822876s
Epoch 236/800, D loss: -0.03571939468383789, G loss: -2.3374452590942383, Time elapsed: 3864.901618242264s
Epoch 237/800, D loss: -0.050981760025024414, G loss: -2.229677200317383, Time elapsed: 3880.885602712631s
Epoch 238/800, D loss: -0.04255270957946777, G loss: -2.369377374649048, Time elapsed: 3897.2555809020996s
Epoch 239/800, D loss: -0.05535697937011719, G loss: -2.076235771179199, Time elapsed: 3914.417708158493s
Epoch 240/800, D loss: -0.042810678482055664, G loss: -1.9962925910949707, Time elapsed: 3930.658572435379s
Epoch 241/800, D loss: -0.04145848751068115, G loss: -0.8761736750602722, Time elapsed: 3946.86626124382s
Epoch 242/800, D loss: -0.03934776782989502, G loss: -0.36457550525665283, Time elapsed: 3963.8040175437927s
Epoch 243/800, D loss: -0.050158023834228516, G loss: -1.0308140516281128, Time elapsed: 3980.0209686756134s
Epoch 244/800, D loss: -0.04903817176818848, G loss: -1.2221121788024902, Time elapsed: 3996.0069863796234s
Epoch 245/800, D loss: -0.03210043907165527, G loss: -1.3647174835205078, Time elapsed: 4012.8794271945953s
Epoch 246/800, D loss: -0.06459605693817139, G loss: -1.5788178443908691, Time elapsed: 4029.1953704357147s
Epoch 247/800, D loss: -0.031164050102233887, G loss: -1.5270462036132812, Time elapsed: 4045.4562804698944s
Epoch 248/800, D loss: -0.04541635513305664, G loss: -1.7090611457824707, Time elapsed: 4062.3606593608856s
Epoch 249/800, D loss: -0.025428414344787598, G loss: -1.5313842296600342, Time elapsed: 4078.722474336624s
Epoch 250/800, D loss: -0.07663321495056152, G loss: -1.6008553504943848, Time elapsed: 4095.0972027778625s
Epoch 251/800, D loss: -0.044866323471069336, G loss: -1.8266913890838623, Time elapsed: 4111.971562385559s
Epoch 252/800, D loss: -0.07097017765045166, G loss: -1.7184393405914307, Time elapsed: 4128.403993606567s
Epoch 253/800, D loss: -0.06638169288635254, G loss: -1.8914498090744019, Time elapsed: 4145.557027339935s
Epoch 254/800, D loss: -0.022942304611206055, G loss: -1.7515945434570312, Time elapsed: 4162.174107789993s
